Group,ensemble,few_shot,post_processing,prompt_optimization
Africa,0.0,0.0,0.0,0.0
ArabStates,0.0,0.0,0.0,0.0
AsiaPacific,0.0,0.0,0.0,0.0
Europe,0.0,0.0,0.0,0.0
LatinSouthAmerica,0.0,0.0,0.0,0.0
MiddleEast,0.0,0.0,0.0,0.0
NorthAmerica,0.0,0.0,0.0,0.0
unknown,35.56,68.89,35.56,71.11
